Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.04516348415607e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,2.39547092092118e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,2.69401492031529e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,2.55052764834771e-05
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.48638940136617e-05
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.43089063625551e-05
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.45949186309102e-05
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.63337059383875e-05
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.73729643978024e-05
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.73318259309749e-05
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.75461363467289e-05
1.10891326515351e-08,7.50000000000000e-01,7.50000000000000e-01,2.67774290142360e-05
1.20425614434630e-08,7.50000000000000e-01,7.50000000000000e-01,2.65830072030456e-05
1.39494190273189e-08,7.50000000000000e-01,7.50000000000000e-01,2.56491137566274e-05
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.54102888963912e-05
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-4.15359103341090e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.48126089077591e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-5.09198067903741e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.97697802591770e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.33928053167651e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.82045646168816e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.44651232870866e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.78059809031440e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-3.30681572215795e-04
