Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.46569019770625e-05
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,1.40837318155992e-05
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,1.36235725751374e-05
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,1.01432524022074e-05
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,6.66235444073821e-06
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.77216321950846e-06
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.64203061350293e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.12160269685152e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.85841626878475e-06
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.90696349395920e-06
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.87902997734729e-06
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.61054650513466e-06
1.20844344279766e-08,5.00000000000000e-01,5.00000000000000e-01,4.22380254849926e-06
1.40213032839299e-08,5.00000000000000e-01,5.00000000000000e-01,3.15075688385544e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.40429383668614e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-5.34155239121648e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.57507066553313e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-3.10495807974424e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.81259001470573e-04
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.78078550498596e-04
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.98295393333470e-08
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.10873863310167e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.31541014230982e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.16927470570685e-04
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-8.78378006479962e-05
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.00021136070536e-04
1.72400000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.08858994484237e-05
1.87986426991925e-08,0.00000000000000e+00,5.00000000000000e-01,2.18246273725794e-05
2.10774894858740e-08,0.00000000000000e+00,5.00000000000000e-01,5.47460674851152e-05
2.48774894858740e-08,0.00000000000000e+00,5.00000000000000e-01,-7.93866945618098e-05
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.62575144644585e-05
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,1.38145980784557e-04
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,3.20255234301681e-04
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,5.43964090244445e-04
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.78645185432415e-04
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.26026246005742e-04
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.20905984531851e-04
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.74217958918706e-04
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-6.84057422690613e-04
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.75164505252386e-03
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.80510231215670e-03
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.26954584947252e-01
2.71400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.83070388661551e-01
2.91880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.06105469837374e-01
3.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.94674665322089e-01
3.01100000000000e-08,5.00000000000000e-01,4.50000000000026e-01,4.95510755678810e-01
3.01300000000000e-08,5.00000000000000e-01,3.50000000000012e-01,4.96911785350966e-01
3.01700000000000e-08,5.00000000000000e-01,1.50000000000017e-01,4.98540019636628e-01
3.02000000000000e-08,5.00000000000000e-01,1.21014309684142e-14,4.99148748827917e-01
3.02080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99246161361263e-01
3.02240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99432152225764e-01
3.02560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99626128578043e-01
3.03200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99793993574840e-01
3.04480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99892372536583e-01
3.07040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99911734388189e-01
3.12160000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99991330045639e-01
3.21496961885942e-08,5.00000000000000e-01,0.00000000000000e+00,4.99954414354675e-01
3.37536035777849e-08,5.00000000000000e-01,0.00000000000000e+00,4.99981011982122e-01
3.51000000000000e-08,4.99999999999975e-01,0.00000000000000e+00,4.99966749265429e-01
3.51100000000000e-08,4.49999999999985e-01,0.00000000000000e+00,4.99908529617102e-01
3.51300000000000e-08,3.49999999999971e-01,0.00000000000000e+00,4.99809346108374e-01
3.51700000000000e-08,1.49999999999975e-01,0.00000000000000e+00,4.99857800597328e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00578420190541e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00895114529996e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01408219649886e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01981390970456e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02360615363401e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00898506509999e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.87454065882301e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.86850753794811e-01
3.71828838569967e-08,0.00000000000000e+00,0.00000000000000e+00,5.03500965289689e-01
3.84347098599735e-08,0.00000000000000e+00,0.00000000000000e+00,4.96204468402886e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01460917140341e-01
3.93503652005954e-08,0.00000000000000e+00,0.00000000000000e+00,5.00101392659395e-01
3.98510956017861e-08,0.00000000000000e+00,0.00000000000000e+00,4.99417809876339e-01
4.08525564041675e-08,0.00000000000000e+00,0.00000000000000e+00,4.99870653445110e-01
4.28554780089304e-08,0.00000000000000e+00,0.00000000000000e+00,4.99650194653672e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.99934597277992e-01
4.50100000000000e-08,4.99999999999905e-02,0.00000000000000e+00,4.99990024045484e-01
4.50300000000000e-08,1.50000000000005e-01,0.00000000000000e+00,5.00074478922391e-01
4.50700000000000e-08,3.50000000000000e-01,0.00000000000000e+00,5.00108055573429e-01
4.51000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00031964384983e-01
4.51080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99972459163342e-01
4.51240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99871466924174e-01
4.51560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99746249231990e-01
4.52200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99648238134064e-01
4.53480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99640140612413e-01
4.56040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99807850239793e-01
4.61160000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.05107418193147e-01
4.71400000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.62747038837431e-01
4.89458864130021e-08,5.00000000000000e-01,0.00000000000000e+00,-5.59219088522359e-02
5.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.40819919876319e-02
5.00100000000000e-08,5.00000000000000e-01,4.99999999999905e-02,4.16292750440657e-02
5.00300000000000e-08,5.00000000000000e-01,1.49999999999972e-01,3.68278288766930e-02
5.00700000000000e-08,5.00000000000000e-01,3.50000000000000e-01,2.82038168040794e-02
5.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.28682033427160e-02
