Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.83313790917373e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,2.30297379684857e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.44573565502189e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,5.31731176594760e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,1.58522311705100e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.43070116214242e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.42583450340669e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.42705661359952e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.16965277256248e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.03602354884630e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.09732592979662e-07
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.41997642042185e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.73245577562545e-07
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.11043141856550e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.67076620120767e-07
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-2.56131877889865e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-6.60014480719680e-05
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-9.61453505346488e-05
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.33399925138279e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.10932951357667e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.84482620328586e-05
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.25142958334136e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.26680421641208e-05
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.83070036129346e-05
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.74896333167349e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.05569533844785e-04
1.69603291737334e-08,0.00000000000000e+00,6.00000000000000e-01,9.38833836892218e-05
1.81874785883619e-08,0.00000000000000e+00,6.00000000000000e-01,-1.42273438052728e-05
1.98678841587489e-08,0.00000000000000e+00,6.00000000000000e-01,-1.78622792144833e-05
2.25138656429424e-08,0.00000000000000e+00,6.00000000000000e-01,3.02259270188311e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.94405310216060e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,2.15602279117766e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.05041195956945e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,7.31513652686630e-05
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.98369422711320e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.60606493816422e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.79474917175249e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.58760197635730e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.67219654884194e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.00320943531904e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.41920320632321e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.19926794878464e-01
2.67936619777800e-08,6.00000000000000e-01,6.00000000000000e-01,5.83494016978944e-01
2.81489859333401e-08,6.00000000000000e-01,6.00000000000000e-01,6.12821406147006e-01
2.96799913439739e-08,6.00000000000000e-01,6.00000000000000e-01,5.87800914396441e-01
3.27420021652414e-08,6.00000000000000e-01,6.00000000000000e-01,6.10553529839422e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.89606928684229e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.91230579321588e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.93967625342738e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,5.97345674874519e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99009306080753e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99383537746224e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00009540919571e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00813631347429e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01101229762045e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.95361375750244e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.72094611928185e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.81544493950372e-01
3.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.07265174594187e-01
3.87829954073447e-08,0.00000000000000e+00,6.00000000000000e-01,5.93097479655544e-01
4.14450906272100e-08,0.00000000000000e+00,6.00000000000000e-01,6.05118820835018e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.94803214069971e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.95308303609032e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.96218015279408e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.97502481594388e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.97464371714114e-01
4.51080000000000e-08,6.00000000000000e-01,5.52000000000025e-01,5.97164272453622e-01
4.51240000000000e-08,6.00000000000000e-01,4.55999999999996e-01,5.96493664464275e-01
4.51560000000000e-08,6.00000000000000e-01,2.64000000000016e-01,5.95136627805511e-01
4.52000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.93651567182042e-01
4.52064000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.93510094327998e-01
4.52192000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.93286308316603e-01
4.52448000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.93288047356340e-01
