Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.74607487691769e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,2.64799139036709e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.49017703028986e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.21969676977435e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,1.98793984095350e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.91883837568838e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.88694339913337e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.07463180658535e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.43985789324525e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.51839915400495e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.47065007748966e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.34768446738740e-05
1.20145997085664e-08,6.00000000000000e-01,6.00000000000000e-01,2.41612197663908e-05
1.38117991256992e-08,6.00000000000000e-01,6.00000000000000e-01,2.26091890239378e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.30740031655925e-05
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-3.52917303292205e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.34826926448527e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.50446919603898e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.50196001862011e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.32401130375696e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.21033457931659e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.98733698105706e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.26855936344646e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.91594526831439e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.40034620459050e-05
1.61580645686818e-08,0.00000000000000e+00,6.00000000000000e-01,-8.56527005991918e-05
1.68293236493024e-08,0.00000000000000e+00,6.00000000000000e-01,9.06981766675211e-05
1.78343725618590e-08,0.00000000000000e+00,6.00000000000000e-01,9.47668591960785e-05
1.95556691343192e-08,0.00000000000000e+00,6.00000000000000e-01,-9.73846071507002e-05
2.22445845506854e-08,0.00000000000000e+00,6.00000000000000e-01,1.52966066021546e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.24399932489373e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.50818184001556e-06
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.23475895420808e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.08682826837858e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.59957034153201e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.86153523567318e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.09616718767738e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.39615802049814e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.79319701408868e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.15065617643892e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.19234818624583e-02
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.31999424961161e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.16672669466902e-01
