Time,i(vdd)
6.00338339268014e-06,-1.40561163119120e-07
6.04338339268013e-06,7.91827375146572e-08
6.08338339268013e-06,-1.41078215720423e-07
6.12338339268013e-06,7.96888030664365e-08
6.16338339268013e-06,-1.41557115545365e-07
6.20338339268013e-06,8.01631780001125e-08
6.24338339268013e-06,-1.42042382086497e-07
6.28338339268013e-06,8.06202641501301e-08
6.32338339268013e-06,-1.42472621255707e-07
6.36338339268013e-06,8.10629850132921e-08
6.40338339268013e-06,-1.42926388356501e-07
6.44338339268013e-06,8.14892175102494e-08
6.48338339268013e-06,-1.43326309295163e-07
6.52338339268013e-06,8.19016910547167e-08
6.56338339268013e-06,-1.43750033321701e-07
6.60338339268013e-06,8.22984538218167e-08
6.64338339268013e-06,-1.44121005300473e-07
6.68338339268013e-06,8.26821028974201e-08
6.72338339268013e-06,-1.44516035253852e-07
6.76338339268013e-06,8.30507661244676e-08
6.80338339268013e-06,-1.44859412809495e-07
6.84338339268013e-06,8.34068990621354e-08
6.88338339268013e-06,-1.45227096574470e-07
6.92338339268013e-06,8.37487642116575e-08
6.96338339268013e-06,-1.45544166412198e-07
7.00338339268013e-06,8.40789180177471e-08
7.04338339268013e-06,-1.45885884029504e-07
7.08338339268012e-06,8.43952657060561e-08
7.12338339268012e-06,-1.46177760854272e-07
7.16338339268012e-06,8.47000016715281e-08
7.20338339268012e-06,-1.46494646258295e-07
7.24338339268012e-06,8.49917068898768e-08
7.28338339268012e-06,-1.46762413333077e-07
7.32338339268012e-06,8.52726950435067e-08
7.36338339268012e-06,-1.47055286720023e-07
7.40338339268012e-06,8.55413480222391e-08
7.44338339268012e-06,-1.47336300228148e-07
7.48338339268012e-06,8.58333232001181e-08
7.52338339268012e-06,-1.47586321501103e-07
7.56338339268012e-06,8.60991265964361e-08
7.60338339268012e-06,-1.47825373004232e-07
7.64338339268012e-06,8.63154767112661e-08
7.68338339268012e-06,-1.48058362377184e-07
7.72338339268012e-06,8.65580055906007e-08
7.76338339268012e-06,-1.48295398361606e-07
7.80338339268012e-06,8.67745279385021e-08
7.84338339268012e-06,-1.48505869093827e-07
7.88338339268012e-06,8.69963181520935e-08
7.92338339268012e-06,-1.48722692098371e-07
7.96338339268012e-06,8.71920636378659e-08
8.00000000000000e-06,-1.48922156160717e-07
