Time,i(vdd)
6.03162800000013e-06,-1.63791031431352e-09
6.07162800000013e-06,-1.83526130804611e-08
6.11162800000013e-06,-1.66950773807810e-09
6.15162800000013e-06,-1.83729197490284e-08
6.19162800000013e-06,-1.65034561366539e-09
6.23162800000013e-06,-1.83423224599910e-08
6.27162800000013e-06,-1.68165184593323e-09
6.31162800000013e-06,-1.83627228609393e-08
6.35162800000013e-06,-1.66239785491453e-09
6.39162800000013e-06,-1.83324106372786e-08
6.43162800000013e-06,-1.69342221444758e-09
6.47162800000013e-06,-1.83528968673763e-08
6.51162800000013e-06,-1.67408456537041e-09
6.55162800000013e-06,-1.83228607719812e-08
6.59162800000013e-06,-1.70483643337527e-09
6.63162800000013e-06,-1.83434242202179e-08
6.67162800000013e-06,-1.68542323764661e-09
6.71162800000013e-06,-1.83136559959522e-08
6.75162800000013e-06,-1.71591140553820e-09
6.79162800000013e-06,-1.83342886619525e-08
6.83162800000013e-06,-1.68278252317436e-09
6.87162800000013e-06,-1.82900847658310e-08
6.91162800000013e-06,-1.69865582708525e-09
6.95162800000013e-06,-1.83338538579486e-08
6.99162800000013e-06,-1.67942349285005e-09
7.03162800000013e-06,-1.83044855922477e-08
7.07162800000012e-06,-1.70944087680837e-09
7.11162800000012e-06,-1.83252028969940e-08
7.15162800000012e-06,-1.68985477014681e-09
7.19162800000012e-06,-1.82967195401973e-08
7.23162800000012e-06,-1.71927911836471e-09
7.27162800000012e-06,-1.83174449921312e-08
7.31162800000012e-06,-1.69950703027372e-09
7.35162800000012e-06,-1.82837056026049e-08
7.39162800000012e-06,-1.72496489806595e-09
7.43162800000012e-06,-1.83001839648967e-08
7.47162800000012e-06,-1.71390254433634e-09
7.51162800000012e-06,-1.82797707152715e-08
7.55162800000012e-06,-1.73370476004153e-09
7.59162800000012e-06,-1.82910983997182e-08
7.63162800000012e-06,-1.70447757999536e-09
7.67162800000012e-06,-1.82803688139773e-08
7.71162800000012e-06,-1.73286576655828e-09
7.75162800000012e-06,-1.83004882806054e-08
7.79162800000012e-06,-1.71546831485601e-09
7.83162800000012e-06,-1.82715871659400e-08
7.87162800000012e-06,-1.74050229966848e-09
7.91162800000012e-06,-1.82917746941343e-08
7.95162800000012e-06,-1.72306869113163e-09
7.99162800000012e-06,-1.82631049669493e-08
8.00000000000000e-06,-1.75392419922572e-09
