Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.50000000000000e-01,0.00000000000000e+00,2.85114575481497e-05
1.00100000000000e-08,6.50000000000000e-01,6.49999999999984e-02,2.38156219362073e-05
1.00300000000000e-08,6.50000000000000e-01,1.94999999999995e-01,1.75006161087579e-05
1.00700000000000e-08,6.50000000000000e-01,4.54999999999989e-01,1.12661211821713e-05
1.01000000000000e-08,6.50000000000000e-01,6.49999999999995e-01,8.85525415535160e-06
1.01080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.36775856989658e-06
1.01240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.78685295254561e-06
1.01560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.20691165035672e-05
1.02200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.59836866388471e-05
1.03480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.74705794213365e-06
1.06040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.06849431442801e-05
1.11160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.96636334846084e-06
1.21400000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.04031646173926e-05
1.41880000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.05839839419886e-06
1.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.87204452863096e-06
1.51100000000000e-08,5.84999999999991e-01,6.50000000000000e-01,-4.83550794553242e-05
1.51300000000000e-08,4.54999999999994e-01,6.50000000000000e-01,-1.31190100554901e-04
1.51700000000000e-08,1.95000000000000e-01,6.50000000000000e-01,-7.41201532832581e-05
1.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.78607229921697e-04
1.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,2.89847266099395e-04
1.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,3.97275130054060e-04
1.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,2.34203696517978e-04
1.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-2.28618865650274e-04
1.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-2.19295993519577e-04
1.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-7.57213979224181e-05
1.60745776448777e-08,0.00000000000000e+00,6.50000000000000e-01,8.51913254720071e-05
1.66123559572179e-08,0.00000000000000e+00,6.50000000000000e-01,1.10708804695546e-04
1.76129854433133e-08,0.00000000000000e+00,6.50000000000000e-01,-1.42766784149410e-04
1.88780390138833e-08,0.00000000000000e+00,6.50000000000000e-01,1.81922094020150e-04
2.13795300764414e-08,0.00000000000000e+00,6.50000000000000e-01,-1.74385018906020e-04
2.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.93719203845516e-04
2.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,2.47308917243221e-04
2.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,3.17971279062294e-04
2.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,3.36249289255672e-04
2.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-5.29517788337382e-04
2.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.12317665218134e-03
2.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-2.35629140964867e-03
2.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-4.37102435949074e-03
2.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-2.44528597278012e-03
2.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.80039808595044e-01
2.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.27734704372776e-01
2.60959701603855e-08,6.50000000000000e-01,6.50000000000000e-01,6.57372012825735e-01
2.66780139153402e-08,6.50000000000000e-01,6.50000000000000e-01,6.42677423279528e-01
2.76213922294132e-08,6.50000000000000e-01,6.50000000000000e-01,6.56049524359010e-01
2.88785561746500e-08,6.50000000000000e-01,6.50000000000000e-01,6.43795636804488e-01
3.13928840651238e-08,6.50000000000000e-01,6.50000000000000e-01,6.55611823180382e-01
3.51000000000000e-08,6.49999999999968e-01,6.50000000000000e-01,6.44142370437290e-01
3.51100000000000e-08,5.84999999999980e-01,6.50000000000000e-01,6.46352475708922e-01
3.51300000000000e-08,4.54999999999962e-01,6.50000000000000e-01,6.49042553266296e-01
3.51700000000000e-08,1.94999999999968e-01,6.50000000000000e-01,6.50629777489698e-01
3.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52276714482619e-01
3.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52638480671618e-01
3.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52823265430517e-01
3.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.49397474221529e-01
3.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.32743869760392e-01
3.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.31660889504315e-01
3.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.53631474152819e-01
3.60994344266057e-08,0.00000000000000e+00,6.50000000000000e-01,6.45978731771364e-01
3.67392235256787e-08,0.00000000000000e+00,6.50000000000000e-01,6.52572956856601e-01
3.80188017238248e-08,0.00000000000000e+00,6.50000000000000e-01,6.47074316369406e-01
4.05779581201169e-08,0.00000000000000e+00,6.50000000000000e-01,6.52427061598175e-01
4.43779581201169e-08,0.00000000000000e+00,6.50000000000000e-01,6.47339942786907e-01
4.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.51990500105231e-01
4.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,6.51452538454596e-01
4.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,6.50657772550094e-01
4.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,6.50068715083646e-01
4.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.49518244105656e-01
4.51080000000000e-08,6.50000000000000e-01,5.98000000000027e-01,6.49204253872169e-01
4.51240000000000e-08,6.50000000000000e-01,4.93999999999995e-01,6.48595414095459e-01
4.51560000000000e-08,6.50000000000000e-01,2.86000000000017e-01,6.47756710439713e-01
4.52000000000000e-08,6.50000000000000e-01,3.71924713249427e-14,6.47245570899956e-01
4.52064000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.47215825946320e-01
4.52192000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.47159609389879e-01
4.52448000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.47172928405299e-01
4.52960000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.47718731151208e-01
4.53984000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.48949742593936e-01
4.56032000000000e-08,6.50000000000000e-01,0.00000000000000e+00,6.49890802332057e-01
4.59085299066825e-08,6.50000000000000e-01,0.00000000000000e+00,6.49986852419492e-01
4.63415134587707e-08,6.50000000000000e-01,0.00000000000000e+00,6.50021029516696e-01
4.72074805629471e-08,6.50000000000000e-01,0.00000000000000e+00,6.49979604366895e-01
4.87677942359656e-08,6.50000000000000e-01,0.00000000000000e+00,6.50019802855555e-01
