Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.00000000000000e-01,0.00000000000000e+00,2.06003281974457e-05,0.00000000000000e+00
1.00100000000000e-08,7.00000000000000e-01,6.99999999999983e-02,2.21918694168072e-05,0.00000000000000e+00
1.00300000000000e-08,7.00000000000000e-01,2.09999999999995e-01,2.46523219426253e-05,0.00000000000000e+00
1.00700000000000e-08,7.00000000000000e-01,4.89999999999988e-01,2.60872731802642e-05,0.00000000000000e+00
1.01000000000000e-08,7.00000000000000e-01,6.99999999999995e-01,2.36569731835376e-05,0.00000000000000e+00
1.01080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.35824039896346e-05,0.00000000000000e+00
1.01240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.50467996421727e-05,0.00000000000000e+00
1.01560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.69950526004814e-05,0.00000000000000e+00
1.02200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.72688426753223e-05,0.00000000000000e+00
1.03480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.73269700927017e-05,0.00000000000000e+00
1.06040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.73209929974767e-05,0.00000000000000e+00
1.11160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.67336322826890e-05,0.00000000000000e+00
1.21400000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.62624486641987e-05,0.00000000000000e+00
1.41880000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.49164488027127e-05,0.00000000000000e+00
1.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.49204504036704e-05,0.00000000000000e+00
1.51100000000000e-08,6.29999999999990e-01,7.00000000000000e-01,1.93415461618593e-04,7.00000000000099e-02
1.51300000000000e-08,4.89999999999994e-01,7.00000000000000e-01,3.44844875809727e-04,2.10000000000007e-01
1.51700000000000e-08,2.10000000000000e-01,7.00000000000000e-01,3.37886971712296e-04,4.90000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.95843216043579e-04,7.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.78536653241265e-04,7.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.48784720595921e-04,7.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,2.57592933960347e-04,7.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.35992146328277e-04,7.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-3.59148370525544e-04,7.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,9.56948782705018e-05,7.00000000000000e-01
1.60503028561167e-08,0.00000000000000e+00,7.00000000000000e-01,-2.43422057528322e-04,7.00000000000000e-01
1.67429085683501e-08,0.00000000000000e+00,7.00000000000000e-01,2.85192247994451e-04,7.00000000000000e-01
1.78687807634181e-08,0.00000000000000e+00,7.00000000000000e-01,-1.29933954454212e-04,7.00000000000000e-01
1.90558639435507e-08,0.00000000000000e+00,7.00000000000000e-01,1.00281054105627e-04,7.00000000000000e-01
2.14300303038159e-08,0.00000000000000e+00,7.00000000000000e-01,-3.08528677166100e-05,7.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,5.81692031433011e-05,7.00000000000000e-01
2.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,1.88107893618200e-04,7.00000000000000e-01
2.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,3.93102318529223e-04,7.00000000000000e-01
2.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,6.33829499414873e-04,7.00000000000000e-01
2.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.35008830601635e-04,7.00000000000000e-01
2.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,5.17785526024696e-04,7.00000000000000e-01
2.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.12133350807824e-04,7.00000000000000e-01
2.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-8.05319064063566e-04,7.00000000000000e-01
2.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-3.26627762301714e-03,7.00000000000000e-01
2.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-2.04780666526889e-03,7.00000000000000e-01
2.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.04290873016527e-01,7.00000000000000e-01
2.61160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.09111398772084e-01,7.00000000000000e-01
2.67821698821030e-08,7.00000000000000e-01,7.00000000000000e-01,6.93694776365492e-01,7.00000000000000e-01
2.80691192945990e-08,7.00000000000000e-01,7.00000000000000e-01,7.06220419165059e-01,7.00000000000000e-01
2.95199923179503e-08,7.00000000000000e-01,7.00000000000000e-01,6.93975017923815e-01,7.00000000000000e-01
3.19532750641661e-08,7.00000000000000e-01,7.00000000000000e-01,7.05914649451845e-01,7.00000000000000e-01
3.51000000000000e-08,6.99999999999965e-01,7.00000000000000e-01,6.94156868195087e-01,7.00000000000000e-01
3.51100000000000e-08,6.29999999999979e-01,7.00000000000000e-01,6.96758284082725e-01,7.00000000000000e-01
3.51300000000000e-08,4.89999999999959e-01,7.00000000000000e-01,6.99622156893659e-01,7.00000000000000e-01
3.51700000000000e-08,2.09999999999966e-01,7.00000000000000e-01,7.00999548201103e-01,7.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.02928499889071e-01,7.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03303167732037e-01,7.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03246079252332e-01,7.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.98011616347312e-01,7.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.81114014253387e-01,7.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.85076938251291e-01,7.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03208560068835e-01,7.00000000000000e-01
3.60599340168279e-08,0.00000000000000e+00,7.00000000000000e-01,6.96309651538097e-01,7.00000000000000e-01
3.67639968604062e-08,0.00000000000000e+00,7.00000000000000e-01,7.02376138711250e-01,7.00000000000000e-01
3.81721225475626e-08,0.00000000000000e+00,7.00000000000000e-01,6.97338090587114e-01,7.00000000000000e-01
4.09883739218756e-08,0.00000000000000e+00,7.00000000000000e-01,7.02305708783950e-01,7.00000000000000e-01
4.47883739218756e-08,0.00000000000000e+00,7.00000000000000e-01,6.97587272898025e-01,7.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.01404576172175e-01,7.00000000000000e-01
4.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,7.00858351157778e-01,6.30000000000013e-01
4.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,7.00136689212539e-01,4.89999999999994e-01
4.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,7.02699250101264e-01,2.10000000000000e-01
4.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.09985014759661e-01,0.00000000000000e+00
4.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.12454182363378e-01,0.00000000000000e+00
4.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.17140070234286e-01,0.00000000000000e+00
4.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.27284277443480e-01,0.00000000000000e+00
4.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.07508847226280e-01,0.00000000000000e+00
4.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,4.45054945245061e-01,0.00000000000000e+00
4.55995890141374e-08,7.00000000000000e-01,7.00000000000000e-01,5.11431850344047e-02,0.00000000000000e+00
4.59518736787514e-08,7.00000000000000e-01,7.00000000000000e-01,-8.82226944132833e-03,0.00000000000000e+00
4.65312049495717e-08,7.00000000000000e-01,7.00000000000000e-01,2.48889707701544e-03,0.00000000000000e+00
4.74749580988895e-08,7.00000000000000e-01,7.00000000000000e-01,-2.30145442460947e-04,0.00000000000000e+00
4.93290168168783e-08,7.00000000000000e-01,7.00000000000000e-01,-4.01178422279514e-04,0.00000000000000e+00
5.01000000000000e-08,7.00000000000000e-01,6.99999999999960e-01,1.72809026830245e-03,0.00000000000000e+00
5.03585573078248e-08,7.00000000000000e-01,7.00000000000000e-01,-3.38989768996198e-04,0.00000000000000e+00
5.08756719234744e-08,7.00000000000000e-01,7.00000000000000e-01,8.70880084447370e-05,0.00000000000000e+00
5.19099011547736e-08,7.00000000000000e-01,7.00000000000000e-01,2.04333847619535e-05,0.00000000000000e+00
5.39783596173720e-08,7.00000000000000e-01,7.00000000000000e-01,7.09935966717104e-07,0.00000000000000e+00
5.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.93554418335629e-05,0.00000000000000e+00
5.51100000000000e-08,6.30000000000025e-01,7.00000000000000e-01,1.89074200350262e-04,6.99999999999752e-02
5.51300000000000e-08,4.90000000000005e-01,7.00000000000000e-01,2.92791107020768e-04,2.09999999999995e-01
5.51700000000000e-08,2.10000000000012e-01,7.00000000000000e-01,2.92925266698607e-04,4.89999999999988e-01
5.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.53426661912744e-04,7.00000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.34077032852917e-04,7.00000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,2.93274642518507e-04,7.00000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.19422960018906e-05,7.00000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.08704632582461e-03,7.00000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.31952648169217e-03,7.00000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,2.15589805217725e-04,7.00000000000000e-01
5.60499156764705e-08,0.00000000000000e+00,7.00000000000000e-01,-1.80564309932789e-04,7.00000000000000e-01
5.67417470294116e-08,0.00000000000000e+00,7.00000000000000e-01,1.70543042339337e-04,7.00000000000000e-01
5.78065943438151e-08,0.00000000000000e+00,7.00000000000000e-01,-6.26550712120467e-05,7.00000000000000e-01
5.90108855911666e-08,0.00000000000000e+00,7.00000000000000e-01,6.87037390648838e-05,7.00000000000000e-01
6.14194680858695e-08,0.00000000000000e+00,7.00000000000000e-01,-1.27535705920371e-05,7.00000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,4.79600238788183e-05,7.00000000000000e-01
6.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,1.56338570278983e-04,7.00000000000000e-01
6.50300000000000e-08,2.09999999999960e-01,7.00000000000000e-01,3.42522324102076e-04,7.00000000000000e-01
6.50700000000000e-08,4.89999999999907e-01,7.00000000000000e-01,5.90271440573872e-04,7.00000000000000e-01
6.51000000000000e-08,6.99999999999960e-01,7.00000000000000e-01,5.09070280058532e-04,7.00000000000000e-01
6.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.21444968125459e-04,7.00000000000000e-01
6.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.44754863232621e-04,7.00000000000000e-01
6.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.39300106553238e-03,7.00000000000000e-01
6.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-3.78504217740543e-03,7.00000000000000e-01
6.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.38362529376330e-04,7.00000000000000e-01
6.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.33569031071775e-01,7.00000000000000e-01
6.61159999999999e-08,7.00000000000000e-01,7.00000000000000e-01,7.12999778816936e-01,7.00000000000000e-01
6.67506561869279e-08,7.00000000000000e-01,7.00000000000000e-01,6.91236783718011e-01,7.00000000000000e-01
6.80199685607839e-08,7.00000000000000e-01,7.00000000000000e-01,7.08521332674805e-01,7.00000000000000e-01
6.94586319548556e-08,7.00000000000000e-01,7.00000000000000e-01,6.91712464844024e-01,7.00000000000000e-01
7.18557388474242e-08,7.00000000000000e-01,7.00000000000000e-01,7.08081349044351e-01,7.00000000000000e-01
7.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.91975205759651e-01,7.00000000000000e-01
7.51100000000000e-08,6.30000000000071e-01,7.00000000000000e-01,6.95535713404806e-01,7.00000000000000e-01
7.51300000000000e-08,4.90000000000098e-01,7.00000000000000e-01,6.99470267251605e-01,7.00000000000000e-01
7.51700000000000e-08,2.10000000000151e-01,7.00000000000000e-01,7.01028418862704e-01,7.00000000000000e-01
7.52000000000000e-08,9.80326930744013e-14,7.00000000000000e-01,7.02924870453055e-01,7.00000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03292080750100e-01,7.00000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03249446300004e-01,7.00000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.98032667476023e-01,7.00000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.81141244284311e-01,7.00000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.85074941460897e-01,7.00000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03206632669538e-01,7.00000000000000e-01
7.60600021568543e-08,0.00000000000000e+00,7.00000000000000e-01,6.96311174371983e-01,7.00000000000000e-01
7.67640762242672e-08,0.00000000000000e+00,7.00000000000000e-01,7.02374967621090e-01,7.00000000000000e-01
7.81722243590931e-08,0.00000000000000e+00,7.00000000000000e-01,6.97339228294674e-01,7.00000000000000e-01
