Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-9.83614467545569e-06
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,-5.77271667831850e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,-3.78729831333052e-07
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,3.09266528889657e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,2.46409581159887e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.33668860471700e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.64032855046628e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.12917958656292e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.84817908576632e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.44861365669902e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.18157583501202e-06
1.11028847081879e-08,6.00000000000000e-01,6.00000000000000e-01,3.21552590337726e-06
1.21006541245638e-08,6.00000000000000e-01,6.00000000000000e-01,2.48357852712308e-06
1.40961929573155e-08,6.00000000000000e-01,6.00000000000000e-01,2.50920951567536e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.20411332351985e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-2.49304821751464e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-7.24300811022413e-05
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.10571863465431e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.19335960219272e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.91658276973844e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.11099759491133e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.74245394746440e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.16612222067099e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.95390267438332e-05
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.63434972605903e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.38841639237687e-04
1.70229527608083e-08,0.00000000000000e+00,6.00000000000000e-01,1.46665194510884e-04
1.81676603732124e-08,0.00000000000000e+00,6.00000000000000e-01,-2.79809872948612e-05
1.99643279415058e-08,0.00000000000000e+00,6.00000000000000e-01,-1.53572935737835e-05
2.28322167393435e-08,0.00000000000000e+00,6.00000000000000e-01,3.81206935034489e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.74386750216357e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.26563250146088e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.17992328998173e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,1.78170392899905e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.18642269393861e-05
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.66073105741112e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.46009322710745e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.29966407273097e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.38040553991389e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.99892881052916e-02
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.16517312239691e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.20307304640530e-01
2.68608056995398e-08,6.00000000000000e-01,6.00000000000000e-01,5.84833480478822e-01
2.81344607144470e-08,6.00000000000000e-01,6.00000000000000e-01,6.14723755382106e-01
2.99394725872222e-08,6.00000000000000e-01,6.00000000000000e-01,5.86638697626560e-01
3.26913538879064e-08,6.00000000000000e-01,6.00000000000000e-01,6.13094902388396e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.87729327559212e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.90614455343556e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.95025617609043e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,5.99022652638843e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00451767499279e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00755138682681e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01215669610460e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01548806010600e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00272478349663e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.86769210212756e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.71645424819308e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.96480801775706e-01
3.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01241853195469e-01
3.84889659170318e-08,0.00000000000000e+00,6.00000000000000e-01,5.98338647214810e-01
4.09868977510952e-08,0.00000000000000e+00,6.00000000000000e-01,6.00876564483652e-01
4.47868977510952e-08,0.00000000000000e+00,6.00000000000000e-01,5.98807416367213e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99969376344136e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.99981890915919e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.99998488485219e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.99993013247722e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.99812754592668e-01
4.51080000000000e-08,6.00000000000000e-01,5.52000000000025e-01,5.99664538441859e-01
4.51240000000000e-08,6.00000000000000e-01,4.55999999999996e-01,5.99293667426782e-01
4.51560000000000e-08,6.00000000000000e-01,2.64000000000016e-01,5.98437119886200e-01
4.52000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.97522134270951e-01
4.52064000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97429927107072e-01
4.52192000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97230900068791e-01
4.52448000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.96926981167434e-01
4.52960000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.96599469592670e-01
4.53984000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97340664130671e-01
4.56032000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99503417719738e-01
4.60128000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00107984820053e-01
4.64750910687343e-08,6.00000000000000e-01,0.00000000000000e+00,5.99959598310754e-01
4.73996732062029e-08,6.00000000000000e-01,0.00000000000000e+00,6.00024629034190e-01
4.85669900955872e-08,6.00000000000000e-01,0.00000000000000e+00,5.99982879195889e-01
5.09016238743560e-08,6.00000000000000e-01,0.00000000000000e+00,6.00013832254356e-01
5.47016238743560e-08,6.00000000000000e-01,0.00000000000000e+00,5.99987853022407e-01
5.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00002128856288e-01
5.51100000000000e-08,5.40000000000021e-01,0.00000000000000e+00,5.99971673389180e-01
5.51300000000000e-08,4.20000000000004e-01,0.00000000000000e+00,5.99918791303341e-01
5.51700000000000e-08,1.80000000000010e-01,0.00000000000000e+00,6.00092933678521e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00789499700543e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01020429435515e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01387684367882e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01789278880970e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02166409972084e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02596956564852e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01283892877728e-01
5.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99039780674739e-01
5.67785907259983e-08,0.00000000000000e+00,0.00000000000000e+00,5.99844907752006e-01
5.79037721779950e-08,0.00000000000000e+00,0.00000000000000e+00,5.99629183854231e-01
5.91219571530871e-08,0.00000000000000e+00,0.00000000000000e+00,5.99780922459426e-01
6.15583271032713e-08,0.00000000000000e+00,0.00000000000000e+00,5.99807446547898e-01
6.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99822644340555e-01
