Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.50000000000000e-01,0.00000000000000e+00,1.95833347865087e-05,0.00000000000000e+00
1.00100000000000e-08,6.50000000000000e-01,6.49999999999984e-02,1.07372353982740e-05,0.00000000000000e+00
1.00300000000000e-08,6.50000000000000e-01,1.94999999999995e-01,1.06598339676134e-07,0.00000000000000e+00
1.00700000000000e-08,6.50000000000000e-01,4.54999999999989e-01,-2.55958340519835e-06,0.00000000000000e+00
1.01000000000000e-08,6.50000000000000e-01,6.49999999999995e-01,-2.14517670596437e-06,0.00000000000000e+00
1.01080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.41455937290036e-06,0.00000000000000e+00
1.01240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.03508994270952e-08,0.00000000000000e+00
1.01560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,2.00082667258655e-06,0.00000000000000e+00
1.02200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.98961708712531e-06,0.00000000000000e+00
1.03480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.12189964175081e-07,0.00000000000000e+00
1.06040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.85776586652912e-06,0.00000000000000e+00
1.11160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.21722484413070e-06,0.00000000000000e+00
1.21400000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.39744402202595e-06,0.00000000000000e+00
1.41880000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.86440603956387e-07,0.00000000000000e+00
1.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.01235501095585e-06,0.00000000000000e+00
1.51100000000000e-08,5.84999999999991e-01,6.50000000000000e-01,1.67851052650304e-04,6.50000000000092e-02
1.51300000000000e-08,4.54999999999994e-01,6.50000000000000e-01,3.16342570317089e-04,1.95000000000006e-01
1.51700000000000e-08,1.95000000000000e-01,6.50000000000000e-01,1.46325148777091e-04,4.55000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,2.64859236981385e-05,6.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,7.42066627686111e-06,6.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-1.28760519468446e-05,6.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-2.56941900181329e-06,6.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-3.37873745032760e-05,6.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-1.03112516062709e-04,6.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-9.14731264957756e-05,6.50000000000000e-01
1.61507562985062e-08,0.00000000000000e+00,6.50000000000000e-01,1.32800065417047e-05,6.50000000000000e-01
1.67332142693216e-08,0.00000000000000e+00,6.50000000000000e-01,9.36468393074336e-05,6.50000000000000e-01
1.78164223386993e-08,0.00000000000000e+00,6.50000000000000e-01,-1.04447880610755e-04,6.50000000000000e-01
1.90035308536959e-08,0.00000000000000e+00,6.50000000000000e-01,1.08797449427839e-04,6.50000000000000e-01
2.13777478836890e-08,0.00000000000000e+00,6.50000000000000e-01,-1.07192736727233e-04,6.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.06129064015921e-04,6.50000000000000e-01
2.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,1.92147515308001e-04,6.50000000000000e-01
2.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,3.05502620767333e-04,6.50000000000000e-01
2.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,2.33486768217127e-04,6.50000000000000e-01
2.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.47171773063605e-03,6.50000000000000e-01
2.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-2.34283235571792e-03,6.50000000000000e-01
2.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-3.91900335201782e-03,6.50000000000000e-01
2.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-5.94496626069230e-03,6.50000000000000e-01
2.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,7.33457193140195e-03,6.50000000000000e-01
2.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,2.37761977750040e-01,6.50000000000000e-01
2.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.39194246245546e-01,6.50000000000000e-01
2.60540236923015e-08,6.50000000000000e-01,6.50000000000000e-01,6.52684069622455e-01,6.50000000000000e-01
2.66097987630695e-08,6.50000000000000e-01,6.50000000000000e-01,6.48299584551020e-01,6.50000000000000e-01
2.75709137104312e-08,6.50000000000000e-01,6.50000000000000e-01,6.50838341806285e-01,6.50000000000000e-01
2.87249898727832e-08,6.50000000000000e-01,6.50000000000000e-01,6.49358369075607e-01,6.50000000000000e-01
3.10331421974872e-08,6.50000000000000e-01,6.50000000000000e-01,6.50368942245525e-01,6.50000000000000e-01
3.47742975156837e-08,6.50000000000000e-01,6.50000000000000e-01,6.49626675010279e-01,6.50000000000000e-01
3.51000000000000e-08,6.49999999999968e-01,6.50000000000000e-01,6.49671420774431e-01,6.50000000000000e-01
3.51100000000000e-08,5.84999999999980e-01,6.50000000000000e-01,6.49947696239197e-01,6.50000000000000e-01
3.51300000000000e-08,4.54999999999962e-01,6.50000000000000e-01,6.50144336177387e-01,6.50000000000000e-01
3.51700000000000e-08,1.94999999999968e-01,6.50000000000000e-01,6.50451891995296e-01,6.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.51793009460816e-01,6.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52204882651995e-01,6.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52766187642162e-01,6.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52537467807488e-01,6.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.44727377045740e-01,6.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.23246772572919e-01,6.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.36761481106767e-01,6.50000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.55937191506020e-01,6.50000000000000e-01
3.69051604385315e-08,0.00000000000000e+00,6.50000000000000e-01,6.44590334642925e-01,6.50000000000000e-01
3.82239665207496e-08,0.00000000000000e+00,6.50000000000000e-01,6.54025024138857e-01,6.50000000000000e-01
4.08615786851860e-08,0.00000000000000e+00,6.50000000000000e-01,6.45846702758761e-01,6.50000000000000e-01
4.46615786851860e-08,0.00000000000000e+00,6.50000000000000e-01,6.53658151806070e-01,6.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.47698546344984e-01,6.50000000000000e-01
4.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,6.47996291328675e-01,5.85000000000012e-01
4.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,6.48503750352496e-01,4.54999999999994e-01
4.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,6.50217696631684e-01,1.95000000000000e-01
4.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.53991486955594e-01,0.00000000000000e+00
4.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.55317231699067e-01,0.00000000000000e+00
4.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.57625827992722e-01,0.00000000000000e+00
4.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.61380450100128e-01,0.00000000000000e+00
4.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.69255167302740e-01,0.00000000000000e+00
4.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.93672388005988e-01,0.00000000000000e+00
4.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-3.03426177330632e-02,0.00000000000000e+00
4.59034566488997e-08,6.50000000000000e-01,6.50000000000000e-01,2.17969487922916e-02,0.00000000000000e+00
4.65023699466992e-08,6.50000000000000e-01,6.50000000000000e-01,-1.70460255859399e-02,0.00000000000000e+00
4.71182671359771e-08,6.50000000000000e-01,6.50000000000000e-01,1.46916831157089e-02,0.00000000000000e+00
4.83500615145330e-08,6.50000000000000e-01,6.50000000000000e-01,-1.29096613722012e-02,0.00000000000000e+00
5.01000000000000e-08,6.50000000000000e-01,6.49999999999963e-01,1.24792883019887e-02,0.00000000000000e+00
5.03463588757112e-08,6.50000000000000e-01,6.50000000000000e-01,1.29488195336836e-03,0.00000000000000e+00
5.08390766271335e-08,6.50000000000000e-01,6.50000000000000e-01,-1.02344000441816e-03,0.00000000000000e+00
5.18245121299782e-08,6.50000000000000e-01,6.50000000000000e-01,9.13652838941981e-04,0.00000000000000e+00
5.37953831356677e-08,6.50000000000000e-01,6.50000000000000e-01,-8.60441380999065e-04,0.00000000000000e+00
5.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,7.90363615222759e-04,0.00000000000000e+00
5.51100000000000e-08,5.85000000000023e-01,6.50000000000000e-01,7.49782214167133e-04,6.49999999999769e-02
5.51300000000000e-08,4.55000000000005e-01,6.50000000000000e-01,5.98004283099134e-04,1.94999999999995e-01
5.51700000000000e-08,1.95000000000011e-01,6.50000000000000e-01,1.92146207840520e-04,4.54999999999989e-01
5.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,3.69882554868833e-05,6.50000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.47039934129331e-05,6.50000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-1.10837638270522e-05,6.50000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-1.54789221876242e-05,6.50000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-2.75793621468762e-04,6.50000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-5.75545642873786e-04,6.50000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,2.90991619574405e-04,6.50000000000000e-01
5.61524782923902e-08,0.00000000000000e+00,6.50000000000000e-01,-3.02075069303213e-04,6.50000000000000e-01
5.67342792773211e-08,0.00000000000000e+00,6.50000000000000e-01,2.49107659530291e-04,6.50000000000000e-01
