Time,i(vdd)
6.01324422648458e-06,3.07749374862320e-08
6.05324422648458e-06,-4.49074636463104e-08
6.09324422648458e-06,3.18445273393319e-08
6.13324422648458e-06,-4.59442496232659e-08
6.17324422648458e-06,3.28491643564722e-08
6.21324422648458e-06,-4.69183957567907e-08
6.25324422648458e-06,3.37946055239491e-08
6.29324422648458e-06,-4.78349391772511e-08
6.33324422648458e-06,3.46806476937370e-08
6.37324422648458e-06,-4.86985865909355e-08
6.41324422648458e-06,3.55106435301883e-08
6.45324422648458e-06,-4.95043359235700e-08
6.49324422648458e-06,3.62916611450656e-08
6.53324422648458e-06,-5.02628053727053e-08
6.57324422648458e-06,3.70234086682896e-08
6.61324422648458e-06,-5.09693020315600e-08
6.65324422648458e-06,3.77090192168896e-08
6.69324422648457e-06,-5.16329625292578e-08
6.73324422648457e-06,3.83489360870616e-08
6.77324422648457e-06,-5.22518916027637e-08
6.81324422648457e-06,3.89485520691369e-08
6.85324422648457e-06,-5.28318270250912e-08
6.89324422648457e-06,3.95066015230332e-08
6.93324422648457e-06,-5.33714751441150e-08
6.97324422648457e-06,4.00284227410132e-08
7.01324422648457e-06,-5.38756158216151e-08
7.05324422648457e-06,4.05129866115468e-08
7.09324422648457e-06,-5.43435440495706e-08
7.13324422648457e-06,4.09656353870539e-08
7.17324422648457e-06,-5.47786856395207e-08
7.21324422648457e-06,4.13838272758932e-08
7.25324422648457e-06,-5.51823455680687e-08
7.29324422648457e-06,4.17729260222380e-08
7.33324422648457e-06,-5.55561526721047e-08
7.37324422648457e-06,4.21330521690699e-08
7.41324422648457e-06,-5.59031488904208e-08
7.45324422648457e-06,4.24642422517426e-08
7.49324422648457e-06,-5.62218349121798e-08
7.53324422648457e-06,4.27709391752575e-08
7.57324422648457e-06,-5.65163443252033e-08
7.61324422648457e-06,4.30517262003196e-08
7.65324422648457e-06,-5.67851616655715e-08
7.69324422648457e-06,4.33116028661374e-08
7.73324422648456e-06,-5.70215630906035e-08
7.77324422648456e-06,4.35461522886372e-08
7.81324422648456e-06,-5.72561566509197e-08
7.85324422648456e-06,4.37616903629787e-08
7.89324422648456e-06,-5.74514082520288e-08
7.93324422648456e-06,4.39551925955833e-08
7.97324422648456e-06,-5.76461574670627e-08
8.00000000000000e-06,4.41727812386365e-08
