Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,2.85857610300699e-06
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,4.10169182316067e-06
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,5.74254493888871e-06
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,6.10212424617673e-06
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,4.77454954684459e-06
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.16431832087755e-06
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.04706402720723e-06
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.69966017342077e-06
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.66336179049343e-06
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.19199045730371e-05
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.04646130496752e-05
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.14404060413912e-05
1.21400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.04364073481482e-05
1.41880000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.02289342124875e-05
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.61812097857728e-06
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,-4.73415391200604e-05
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,-1.44092624449858e-04
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,-2.18597070036790e-04
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-6.81457303780553e-05
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.63163732968872e-05
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,2.42872514969093e-04
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.79040660615448e-04
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,2.73615415927811e-04
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.27828826761593e-04
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.93653636921913e-04
1.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-4.40369997224688e-06
1.69955701607428e-08,0.00000000000000e+00,5.50000000000000e-01,1.53064210596000e-05
1.80984568150808e-08,0.00000000000000e+00,5.50000000000000e-01,1.08448220402402e-04
2.03042301237569e-08,0.00000000000000e+00,5.50000000000000e-01,-1.21513404196902e-04
2.29378736630290e-08,0.00000000000000e+00,5.50000000000000e-01,1.50021324264659e-04
2.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.44146962198939e-04
2.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,-2.54745281869154e-05
2.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,1.70230138464865e-04
2.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,3.90635590841591e-04
2.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.59518572431571e-04
2.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.47749531936708e-04
2.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-4.07871124723305e-05
2.51560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-9.23975050918513e-04
2.52200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-2.85347008796624e-03
2.53480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-4.45675957791599e-03
2.56040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.88642360186527e-02
2.61160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.06578679837576e-01
2.71400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.63435084595447e-01
2.83651826723833e-08,5.50000000000000e-01,5.50000000000000e-01,5.35576693564936e-01
3.04957779021420e-08,5.50000000000000e-01,5.50000000000000e-01,5.61883252170027e-01
3.34087114305249e-08,5.50000000000000e-01,5.50000000000000e-01,5.37237640463843e-01
3.51000000000000e-08,5.49999999999973e-01,5.50000000000000e-01,5.60805936479914e-01
3.51100000000000e-08,4.94999999999983e-01,5.50000000000000e-01,5.57713410017764e-01
3.51300000000000e-08,3.84999999999968e-01,5.50000000000000e-01,5.53242528163558e-01
3.51700000000000e-08,1.64999999999973e-01,5.50000000000000e-01,5.50601722013371e-01
3.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51483316628800e-01
3.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51852888499406e-01
3.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52386487604074e-01
3.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52709940081772e-01
3.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51071413648865e-01
3.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.37616195450690e-01
3.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.33637398320591e-01
3.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52646422657817e-01
3.70473476740435e-08,0.00000000000000e+00,5.50000000000000e-01,5.46744992270726e-01
3.83894499694495e-08,0.00000000000000e+00,5.50000000000000e-01,5.51989454401991e-01
4.10736545602615e-08,0.00000000000000e+00,5.50000000000000e-01,5.47631882251284e-01
4.48736545602615e-08,0.00000000000000e+00,5.50000000000000e-01,5.51872963570197e-01
4.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.49594097696416e-01
4.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,5.49706541155418e-01
4.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,5.49881503077817e-01
4.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,5.50033135938235e-01
4.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.49994406326627e-01
4.51080000000000e-08,5.50000000000000e-01,5.06000000000023e-01,5.49915020887797e-01
4.51240000000000e-08,5.50000000000000e-01,4.17999999999996e-01,5.49721679712431e-01
4.51560000000000e-08,5.50000000000000e-01,2.42000000000015e-01,5.49216103640278e-01
4.52000000000000e-08,5.50000000000000e-01,3.15303338993544e-14,5.48581206271217e-01
4.52064000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.48518523190198e-01
4.52192000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.48399882121941e-01
4.52448000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.48210323516655e-01
4.52960000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.47986591994337e-01
4.53984000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.47989344687532e-01
4.56032000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.48740285473869e-01
4.60128000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49536288585398e-01
4.65752550362053e-08,5.50000000000000e-01,0.00000000000000e+00,5.49990270875866e-01
4.76587611967075e-08,5.50000000000000e-01,0.00000000000000e+00,5.50015156219526e-01
