Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.35573864872107e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,1.68452337158745e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,7.35304191249592e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,3.80933266829614e-07
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-9.43688584820884e-07
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.07712210418804e-07
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.03272621084350e-07
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.83321306737347e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.43173161849214e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.72794843962249e-07
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.64636379341217e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.16016104539842e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.30973930359980e-06
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.33158352146770e-07
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.11931304033449e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-2.33190229788106e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-5.89564022547805e-05
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-6.00831111775904e-05
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.01006011363368e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.51282161849556e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.48868487796404e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.31033963853704e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.33011346784807e-06
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.27548937229069e-05
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.30869197345433e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.69820354661752e-05
1.68453166512603e-08,0.00000000000000e+00,6.00000000000000e-01,3.97634541775774e-05
1.80416365215841e-08,0.00000000000000e+00,6.00000000000000e-01,-5.11474557764718e-05
1.95122462395362e-08,0.00000000000000e+00,6.00000000000000e-01,5.64669217744478e-05
2.24534656754403e-08,0.00000000000000e+00,6.00000000000000e-01,-5.74696550456981e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.89507941514775e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,9.03273757655344e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.25070817055973e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,7.16257860663219e-05
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.40078971780389e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.53877201851554e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.71635662887956e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.46398866702111e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.83181271686694e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.99789912285673e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.83946331780754e-01
2.60998807698201e-08,6.00000000000000e-01,6.00000000000000e-01,6.05777905200361e-01
2.66895544127970e-08,6.00000000000000e-01,6.00000000000000e-01,5.94616509730573e-01
2.77759086389485e-08,6.00000000000000e-01,6.00000000000000e-01,6.03935785072938e-01
2.90396173714987e-08,6.00000000000000e-01,6.00000000000000e-01,5.95984625454982e-01
3.15670348365990e-08,6.00000000000000e-01,6.00000000000000e-01,6.03348128796669e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.96400283474138e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.97246796962851e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.98491116595121e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,5.99740418870054e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00691925020076e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00941090009163e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01269295566328e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01157749733192e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.95676015822590e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.74676811686661e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.84501121401075e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.06446370704172e-01
3.69717713228667e-08,0.00000000000000e+00,6.00000000000000e-01,5.93874116705396e-01
