Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.83246781982353e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,2.30262327800025e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.44563453520936e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,5.31668690118350e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,1.58513306845742e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.43052479269559e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.42578647866626e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.42723196244260e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.16979041454710e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.03599541977431e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.09763453484785e-07
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.41996353196505e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.73286617537783e-07
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.11040851469030e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.67114919321383e-07
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-2.56132365806620e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-6.60014459064155e-05
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-9.61453167218247e-05
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.33399685016919e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.10933208819670e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.84482873073425e-05
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.25142982047032e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.26680738427909e-05
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.83067503529608e-05
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.74894780194659e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.05569646631611e-04
1.69603291853097e-08,0.00000000000000e+00,6.00000000000000e-01,9.38834732407538e-05
1.81874785943374e-08,0.00000000000000e+00,6.00000000000000e-01,-1.42274208916435e-05
1.98678841923521e-08,0.00000000000000e+00,6.00000000000000e-01,-1.78622062454972e-05
2.25138656566803e-08,0.00000000000000e+00,6.00000000000000e-01,3.02258587834624e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.94404659269076e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,2.15602800265509e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.05041228876855e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,7.31513747707427e-05
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.98369419585254e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.60606493581034e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.79474917055954e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.58760197596567e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.67219663838945e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.00320943267113e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.41920320474550e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.19926794876610e-01
2.67936619777491e-08,6.00000000000000e-01,6.00000000000000e-01,5.83494016982671e-01
2.81489859332472e-08,6.00000000000000e-01,6.00000000000000e-01,6.12821406147056e-01
2.96799913443230e-08,6.00000000000000e-01,6.00000000000000e-01,5.87800914396877e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06846603962017e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.05716952907720e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.03787470593148e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,6.01557901989221e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,6.00803955136439e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00678298154368e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00475270351867e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00221862551582e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00022860988367e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99931214600890e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99952177799973e-01
3.12160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99952636588778e-01
3.18179883261668e-08,6.00000000000000e-01,0.00000000000000e+00,5.99945753223122e-01
3.30219649785005e-08,6.00000000000000e-01,0.00000000000000e+00,5.99957946978830e-01
3.51000000000000e-08,5.99999999999970e-01,0.00000000000000e+00,5.99954403061325e-01
3.51100000000000e-08,5.39999999999982e-01,0.00000000000000e+00,5.99917125455819e-01
3.51300000000000e-08,4.19999999999965e-01,0.00000000000000e+00,5.99853684811149e-01
3.51700000000000e-08,1.79999999999970e-01,0.00000000000000e+00,5.99946974834586e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00465720347488e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00662130715316e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00985503988574e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01345244207839e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01234631221214e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.95365689459665e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.70414634169712e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.80882979719113e-01
3.66956803162606e-08,0.00000000000000e+00,0.00000000000000e+00,6.04274391942400e-01
3.76550409487817e-08,0.00000000000000e+00,0.00000000000000e+00,5.95433017848592e-01
3.88302211713245e-08,0.00000000000000e+00,0.00000000000000e+00,6.02075040834883e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99071773358730e-01
3.93269774811872e-08,0.00000000000000e+00,0.00000000000000e+00,5.99398959733513e-01
3.97809324435616e-08,0.00000000000000e+00,0.00000000000000e+00,5.99613129179493e-01
4.06888423683103e-08,0.00000000000000e+00,0.00000000000000e+00,5.99596204719937e-01
4.25046622178077e-08,0.00000000000000e+00,0.00000000000000e+00,5.99725082196072e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99730796177551e-01
4.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,5.99756115070626e-01
4.50300000000000e-08,1.80000000000006e-01,0.00000000000000e+00,5.99797241082276e-01
4.50700000000000e-08,4.20000000000000e-01,0.00000000000000e+00,5.99794693741466e-01
4.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99642757670686e-01
4.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99590434654619e-01
4.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99513231198911e-01
4.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99411079256789e-01
4.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99731469942830e-01
4.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.03762757869189e-01
4.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.74829793928089e-01
4.61160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,4.75903137111471e-02
4.67657693068367e-08,6.00000000000000e-01,0.00000000000000e+00,-3.34511276572281e-02
4.77432924495347e-08,6.00000000000000e-01,0.00000000000000e+00,3.30617596656317e-02
4.92289580844127e-08,6.00000000000000e-01,0.00000000000000e+00,-2.76445116695714e-02
5.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.57492787743359e-02
5.00100000000000e-08,6.00000000000000e-01,5.99999999999886e-02,1.88586084044817e-02
5.00300000000000e-08,6.00000000000000e-01,1.79999999999966e-01,9.16658231475337e-03
5.00700000000000e-08,6.00000000000000e-01,4.20000000000000e-01,1.97709284418028e-03
5.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.85178709691134e-04
5.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.90040203356024e-04
5.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.97404692930783e-04
5.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.01875385950082e-04
5.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.33831192679584e-05
5.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.10991106132007e-06
5.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.11199732760440e-06
5.11160000000001e-08,6.00000000000000e-01,6.00000000000000e-01,-4.83475591267837e-06
5.21400000000002e-08,6.00000000000000e-01,6.00000000000000e-01,3.41240299880506e-06
5.41880000000003e-08,6.00000000000000e-01,6.00000000000000e-01,-4.38217229728152e-06
5.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.41808740751334e-06
5.51100000000000e-08,5.40000000000021e-01,6.00000000000000e-01,-1.96444111991573e-05
5.51300000000000e-08,4.20000000000004e-01,6.00000000000000e-01,-5.45664599944096e-05
5.51700000000000e-08,1.80000000000010e-01,6.00000000000000e-01,-8.15077556880137e-05
5.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.98709389744030e-05
5.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.11278448331922e-05
