Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.65102859196811e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,-1.28451309293828e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,-7.52422908194966e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,-4.85734933634158e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-7.42618366878639e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.57599864319863e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.03493317980131e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.18243284782643e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.45789205457248e-07
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.99423124950688e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.70361432138916e-07
1.11083962522667e-08,6.00000000000000e-01,6.00000000000000e-01,1.99532399161075e-06
1.21171887568001e-08,6.00000000000000e-01,6.00000000000000e-01,1.68049898248077e-06
1.41347737658669e-08,6.00000000000000e-01,6.00000000000000e-01,1.56609527388572e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.57744186538716e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-6.24383581095331e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.70612691427471e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.62102471971927e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.82757802600043e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.42445353919588e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.56470247126023e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.05594787043134e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.25158982961413e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.44842998481376e-05
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.85488126988625e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.74874963405443e-05
1.70138836253202e-08,0.00000000000000e+00,6.00000000000000e-01,2.85241166282021e-05
1.80835589046681e-08,0.00000000000000e+00,6.00000000000000e-01,9.39455878288253e-05
2.02229094633640e-08,0.00000000000000e+00,6.00000000000000e-01,-1.25350902930112e-04
2.27542341983024e-08,0.00000000000000e+00,6.00000000000000e-01,1.41879692597002e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.52332839382625e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,-2.07078508716041e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.01591434387367e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.45114609444859e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.80102930563661e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.40826948824456e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.34757402405761e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.27205940008907e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.55306189056015e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.64004714115599e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.28819395324080e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.63744506464010e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.11817552806005e-01
2.83510484713724e-08,6.00000000000000e-01,6.00000000000000e-01,5.87460317815101e-01
3.04177831837306e-08,6.00000000000000e-01,6.00000000000000e-01,6.10206489674113e-01
3.31606019845830e-08,6.00000000000000e-01,6.00000000000000e-01,5.89123864234276e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,6.09252972534239e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,6.06701870925113e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,6.02933411852307e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00651282027710e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01612502217163e-01
