Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.44927085571280e-05,0.00000000000000e+00
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,2.24306823353448e-05,0.00000000000000e+00
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.98055943467779e-05,0.00000000000000e+00
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,1.57896759424708e-05,0.00000000000000e+00
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,1.58513735798727e-05,0.00000000000000e+00
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.57351277151885e-05,0.00000000000000e+00
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.65592864528746e-05,0.00000000000000e+00
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.68275590038541e-05,0.00000000000000e+00
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.51413061601977e-05,0.00000000000000e+00
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.65890535794300e-05,0.00000000000000e+00
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.59711396758612e-05,0.00000000000000e+00
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.58708871806253e-05,0.00000000000000e+00
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.52674980509870e-05,0.00000000000000e+00
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.50353864704117e-05,0.00000000000000e+00
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.45931719938222e-05,0.00000000000000e+00
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,2.39533049232438e-04,7.50000000000106e-02
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,3.51943599658650e-04,2.25000000000007e-01
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,2.73388005382375e-04,5.25000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.15589205712052e-04,7.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.33716101185891e-04,7.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.47197921306894e-04,7.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-3.11726647635263e-04,7.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-6.20288849862920e-04,7.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.29604983596418e-04,7.50000000000000e-01
1.56484230497368e-08,0.00000000000000e+00,7.50000000000000e-01,-2.76746800667218e-04,7.50000000000000e-01
1.59625854926743e-08,0.00000000000000e+00,7.50000000000000e-01,3.30689050396172e-04,7.50000000000000e-01
1.64940729495609e-08,0.00000000000000e+00,7.50000000000000e-01,-1.86342886307386e-04,7.50000000000000e-01
1.70447924531990e-08,0.00000000000000e+00,7.50000000000000e-01,1.37294687950011e-04,7.50000000000000e-01
1.81462314604751e-08,0.00000000000000e+00,7.50000000000000e-01,-8.08567405392183e-05,7.50000000000000e-01
2.03491094750274e-08,0.00000000000000e+00,7.50000000000000e-01,9.46332189442271e-05,7.50000000000000e-01
2.41491094750274e-08,0.00000000000000e+00,7.50000000000000e-01,-6.06711470746064e-05,7.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.96276996788457e-05,7.50000000000000e-01
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,2.41499294983835e-04,7.50000000000000e-01
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,4.56357135444785e-04,7.50000000000000e-01
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,3.73406853913613e-04,7.50000000000000e-01
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.42160813248375e-03,7.50000000000000e-01
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.40373208167492e-03,7.50000000000000e-01
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.19039965221622e-03,7.50000000000000e-01
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.08365639747099e-03,7.50000000000000e-01
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.29023053976108e-02,7.50000000000000e-01
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.78083969721707e-01,7.50000000000000e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.75102758873210e-01,7.50000000000000e-01
2.58793455206304e-08,7.50000000000000e-01,7.50000000000000e-01,7.29532495609109e-01,7.50000000000000e-01
2.64300365618913e-08,7.50000000000000e-01,7.50000000000000e-01,7.69215056330887e-01,7.50000000000000e-01
2.70810473201344e-08,7.50000000000000e-01,7.50000000000000e-01,7.31345037256689e-01,7.50000000000000e-01
2.82047474789652e-08,7.50000000000000e-01,7.50000000000000e-01,7.67722994088513e-01,7.50000000000000e-01
3.04521477966267e-08,7.50000000000000e-01,7.50000000000000e-01,7.32125330926911e-01,7.50000000000000e-01
3.42521477966267e-08,7.50000000000000e-01,7.50000000000000e-01,7.67326129750279e-01,7.50000000000000e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.32926926703243e-01,7.50000000000000e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.41988903292964e-01,7.50000000000000e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.50452644984732e-01,7.50000000000000e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.51215819746738e-01,7.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53976115938657e-01,7.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53644816098267e-01,7.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50053930654233e-01,7.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.35500263799095e-01,7.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.30037522034808e-01,7.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50719845258564e-01,7.50000000000000e-01
3.56671800849664e-08,0.00000000000000e+00,7.50000000000000e-01,7.48035214172308e-01,7.50000000000000e-01
3.59625657566609e-08,0.00000000000000e+00,7.50000000000000e-01,7.50817439119205e-01,7.50000000000000e-01
3.65533371000499e-08,0.00000000000000e+00,7.50000000000000e-01,7.48709040268295e-01,7.50000000000000e-01
3.77348797868278e-08,0.00000000000000e+00,7.50000000000000e-01,7.50888149363381e-01,7.50000000000000e-01
4.00979651603837e-08,0.00000000000000e+00,7.50000000000000e-01,7.48896334059027e-01,7.50000000000000e-01
4.38979651603837e-08,0.00000000000000e+00,7.50000000000000e-01,7.50896963143798e-01,7.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.48969686774541e-01,7.50000000000000e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49199703070039e-01,6.75000000000014e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49574349575396e-01,5.24999999999993e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.54729843060369e-01,2.25000000000000e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.67125456800310e-01,0.00000000000000e+00
4.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.71727126515737e-01,0.00000000000000e+00
4.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.81006566422993e-01,0.00000000000000e+00
4.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.46166262086475e-01,0.00000000000000e+00
4.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.34660301893101e-01,0.00000000000000e+00
4.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.36187859925941e-02,0.00000000000000e+00
4.55246330294960e-08,7.50000000000000e-01,7.50000000000000e-01,-6.22070194454861e-03,0.00000000000000e+00
4.58206258125079e-08,7.50000000000000e-01,7.50000000000000e-01,2.45869882470031e-03,0.00000000000000e+00
4.62465069422249e-08,7.50000000000000e-01,7.50000000000000e-01,-8.35101181520154e-04,0.00000000000000e+00
