Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.61713679033499e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.39675952350593e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,9.27608268826152e-06
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,4.21005104080108e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,1.90163065688642e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.62429208118431e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.18103207823384e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.67629055928209e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.53214122497969e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.18572845004611e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.57674668376162e-06
1.10645426246073e-08,7.50000000000000e-01,7.50000000000000e-01,3.37496234084980e-06
1.19856278738218e-08,7.50000000000000e-01,7.50000000000000e-01,3.55665616128854e-06
1.38277983722509e-08,7.50000000000000e-01,7.50000000000000e-01,3.00864526189999e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.29122900084508e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-8.74475125992452e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.98578621724094e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,5.56243978337700e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,6.20368822156700e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.88646988872252e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,8.32564931969121e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.77871228849003e-05
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-5.22465231579533e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.18291258927909e-05
1.56376570423508e-08,0.00000000000000e+00,7.50000000000000e-01,-3.28001157989845e-04
1.60129704322776e-08,0.00000000000000e+00,7.50000000000000e-01,2.29883366770958e-04
1.64276261276308e-08,0.00000000000000e+00,7.50000000000000e-01,4.20031199664730e-05
1.71527183062334e-08,0.00000000000000e+00,7.50000000000000e-01,-1.13183090542838e-04
1.82379843341623e-08,0.00000000000000e+00,7.50000000000000e-01,1.47508339221513e-04
2.04085163900202e-08,0.00000000000000e+00,7.50000000000000e-01,-1.54990454209642e-04
2.42009613056590e-08,0.00000000000000e+00,7.50000000000000e-01,1.63839922960666e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.76982437757467e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,5.72418236446381e-05
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,3.86865566643399e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.57774021035815e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.81817632891255e-04
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.74594082837382e-04
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.02516182087256e-04
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.91294238325486e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.42836894617108e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.82742356278821e-02
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.92569464154039e-01
2.60637340119344e-08,7.50000000000000e-01,7.50000000000000e-01,7.65197932213109e-01
2.65291740516977e-08,7.50000000000000e-01,7.50000000000000e-01,7.35202023347289e-01
2.74589277227726e-08,7.50000000000000e-01,7.50000000000000e-01,7.63911902062287e-01
